,Movie,ReviewUrl,ReviewDate,ReviewTitle,Review,Rating,Language,cluster
10,Rocky,http:/review/rw0149606/?ref_=tt_urv,2001-09-25,Good to watch,"This movie is worth a viewing every now and again but I must say it is quite boring in parts.  Who cares about your love life.  All I care about is the fight.  More fight less romancing.  Lets go Rocky.  Don't bore us with your love life.  We just don't care!

Grade...4",4,English,3
11,Rocky,http:/review/rw3794060/?ref_=tt_urv,2017-08-31,A screaming movie with some boxing undertones,"It's been a long time since I last watched it. I could've sworn it was a movie about boxing. About an underdog who gets a chance and makes the most of it.

But as I watch it now, I've come to realize it's in fact a movie about the dangers of brain damage. Every single person in this movie is brain damaged, from the boxers and trainers down to the ice rink janitor, meat hauling half-wit...

There are a couple of different ways how this shows. The most obvious and most irritating one is the way people communicate. Talking to people is done almost entirely via screaming. Everything turns into a screaming match. It is not only tiresome, but also just plain obnoxious.

Many parts of the movie are good, though. The premise is interesting, the setting dramatic just by itself. The boxing parts seem authentic enough, but there's not enough of it here to satisfy those of us who are only here for it.

All other things aside, first hour of the movie is skippable, and the rest pretty forgettable. If you took the screaming out, maybe it'd at least be tolerable, but as it is right now, it's not as good as you might remember. An iconic movie to be sure, but not a particularly good one.",4,English,1
12,Rocky,http:/review/rw2417298/?ref_=tt_urv,2011-04-21,Schlocky,"The most memorable moment in Rocky is the love-scene between and Adrian, both steaming the otherwise fetid room with such clean passion that it surpasses all cardinal passions. Adrian first tries to resists; an act shy but with slow excitement, then acquiesces and lastly is enticed. Rocky slowly allures kisses and then makes love. Both connect emotionally, nullifying each other's weaknesses. The problem is that 'this' is the best scene in the movie, while the 'action' and the 'sport' which should succeed, sag. This kind of movies should be a little unpolished but not indecisive. Rocky made me feel like watching just a sweet romance rather than an action, an underdog story. It more seems like Boxing Practice 101. Rule 1: Gulp down six raw eggs Rule 2: Jog a mile or ten! 

I've simply adored Million Dollar Baby for its guts, but mainly its balance of action and drama. The second half is so emotionally straining, I couldn't bear it in the end and cried my eyes out. Rocky could've been such a film had it not stooped to maudlin and pretense. The movie feels and looks more like the 30s, with I don't know, the accent maybe. Or the caricature that the supporting cast is. The opening scene is a normal boxing match with the brawny Stallone facing another unknown face. A small-time boxer and a collector for a 'large-hearted' loan-shark named Gazzo; he lives an ordinary life, loving his pets, trying to woo a painfully shy girl and teaching an androgynous girl lessons to act more womanly. His preference can be known from the conversation as he explains to her how a foul-mouthed girl would be termed nothing but a ""w**re"" in future, and would rather want a lady to be his wife, which he notices in Adrian. This small-timer is suddenly placed on a pedestal when he is given an opportunity to face the flamboyant, insidious, conceited world-champion Apollo Creed, who does this all for a ""good show"".

Sylvester does have inkling about what he has to do, but I didn't see any vigor in his eyes. In short, his eyes were dead. In the scene where he vents out his frustration on his to-be trainer for not having faith in him before, he says the line but means them not much. Also, it is difficult to overlook the garbled voice that he speaks in. However, the script is a shade better, replete with humor and love. But it is heavy-handed, especially during the end. Sly is better a screenwriter here. The choreography of the boxing sequences is anything but memorable though, as it never gains steam. The climatic boxing scene seems rushed and irresolute. Sly could've sought professional help in these sequences than writing it himself.

Talia is spot-on as the highly introverted, taciturn girl-friend who breaks down hysterically in one of the scenes. I could emphasize with her since I myself am a very introverted but caring person who have bouts of hysterics. The most captivating quality is that Talia doesn't speak much but remained composed in a way that radiates untold emotions. Her character is unfairly treated in the end where she seems more like the heroine from Grease who runs to her love in the end.

Others in the movie frankly don't matter much. Burt Young as the crass, resentful but attention-seeking, insecure brother of Adrian, to be honest, was plain forgettable. Burgess as the surly coach with a story of failure in the past is generic to the extreme. His ""come on, Rocky"" chants really don't work because such character is more suited for a college movie with unruly youngsters (i.e. Grease). Carl Weathers' character Apollo reminds me of Lady Gaga, and he is more of a friendly villain here, which is a contrast from other sports movies, but I prefer the old-fashioned ones, a figure to hate.

The story at times gets to verbose or drab, as one always expects a broken tooth or dislocated shoulder in the middle. Two fights won't do for a classic sports film. The direction is schmaltzy at multiple places, though noble at a few. The background score, even though had some potential hits, didn't have an enlivening effect to make you go ""YaY!"" in the end. Considering the tight budget, these slights errs can be forgiven. But even films with shoe-string budget can deliver better. And next time, please let Talia do the talking and Sly more action. May watch and review the sequel when I am free, though I am not too keen on it. 5/10",5,English,0
13,Rocky,http:/review/rw2057807/?ref_=tt_urv,2009-04-26,The Loser,"I wanted to rewatch this for a variety of reasons, but what tipped the scale were two ""ring"" movies that disappointed: ""Redbelt"" and ""The Wrestler.""

The reason for Rocky was the camera in the ring business. I remembered it as the very first movie that did this in a way that put you in the fight, that ""folded"" you into the cinematic space. Scorcese, for all his many faults, really did an amazing job by essentially remaking Rocky with clarity instead of the dullness of the Rocky character. Along the way ""Raging Bull"" really did set a new standard not just for ""in the ring"" camera-work, but a new vocabulary of relating between any two characters. Those 360 spins around two folks engaged in something special between them are the lowest form of this.

Anyway, ""Redbelt"" and ""Wrestler"" were by two competent folks, and I wondered. So I went back to Rocky. I may watch the whole series. What we liked at the time, and still do is the folding of reality into the story. This is Stallone's story, even down to his romance with a Copolla. It is where we first ever in film see a steadicam, first on the steps and them in the ring. At the time it was mindblowing. Now it is ordinary and rough.

So what we are left with is the now sharper knowledge of how reality overlaps with the fiction. And the story of course.

For me, that overlapping is everything. Pay attention to the dialog, every word of which comes from Stallone. See how rich his own speeches are, especially compared to the well delivered but trite speeches of others?

This will be an adventure for me, marching through the Rocky and Rambo stuff. I expect to be left better off than Stallone is.

Ted's Evaluation -- 2 of 3: Has some interesting elements.",5,English,1
14,Rocky,http:/review/rw4490600/?ref_=tt_urv,2018-12-02,"Builds character rather than spectacle, but isn't quite as gripping as you'd expect.","For a low-budget, 'take a chance' type film, 'Rocky (1976)' is pretty accomplished and realistic stuff, with its focus always on building character and setting up an empathetic underdog rather than on overt spectacle (something some of the sequels would go on to struggle with). Some of it has aged quite a bit, though, to the point that the final bout isn't necessarily one of the piece's highlights, with many a miss passing for a hit. This isn't necessarily a big issue considering that the flick isn't really about that anyway, though the fact that some of the preceding film is a bit of a drag and that some of Stallone's dialogue is hard to decipher is more of a problem. It's not bad, by any stretch, but it isn't massively gripping and feels slightly more passive than it perhaps ought to. 5/10",5,English,3
15,Rocky,http:/review/rw4186733/?ref_=tt_urv,2018-06-01,My dad forced me to watch it,"As my father brought us to watch the movie we got disappointed. He had it way better remembered in his mind that it was. It can't hold on to the suspense from nowadays. Either way, the camera is well guided and shows nice pictures, also the background story how Sylvester Stallone made the studios to produce his film is stunning. In conclusion for 16 years old, it can only impress with the picture quality and the background story. The story hasn't aged so that you can be packed during the film.",5,English,1
16,Rocky,http:/review/rw0149617/?ref_=tt_urv,2002-01-10,I Don't Get It,"I saw ""Rocky"" last night for the first time mostly out of guilt for never having seen it before.  It's always tossed in with the other great films from the 1970s, the most eulogized decade in film history, so I thought I might be missing something.

I'm sorry, but I just don't get it.  What distinguished this from all the other countless underdog-rises-to-the-challenge films is beyond me.  It was a fine little movie (if not incredibly slo-o-o-o-w), but I honestly don't know what makes it a classic.",5,English,3
17,Rocky,http:/review/rw1584633/?ref_=tt_urv,2007-01-28,Popular melodrama in a landmark era for American cinema,"1976. A landmark year in cinema. And one of the most heavily contested Academy awards in history. No matter how you look at it, the 70s was the greatest time for American cinema. Scorsese, Coppola, Lumet. Some of the fiercest battles were won in the Academy awards. And it was an exciting time for moviegoers.

While Rocky may get a bad rap for beating out some of these American classics for the prize, the fact remains it still is a powerful, inspirational film about a man's dreams to be the best no matter what obstacles lie in is his way.

The question is does it still hold up after over 30 years? The character of Rocky is one of the most memorable film characters ever and has and established Stallone as a serious filmmaker. Many of the sequences have been engraved in film and popular culture namely the training sessions, meat boxing and the final battle and closing scenes. For fans, these scenes continue to cause great emotional instability no matter how hackneyed and clichéd they have become today. And this is one is one of ""the greatest underdog stories ever told.""

Stallone carries the film for it's duration - no other actor probably could have played Rocky. The character is well developed by Stallone who wrote the screenplay and was Oscar nominated for both his acting and writing. Stallone's mannerisms, raw, dopey acting style fit the character like a glove. The writing was poetic, heartfelt and honest but I did feel that there were some pacing issues and where the film lagged a bit. You could argue that Stallone merely played himself but he did a good job overall.

The other strength of the film was the directing for which it won an Oscar. It sets up the Rocky's neighbourhood well, the missed opportunities, the darkness and lost hope. The shades of a dream wanting to be borne into light. The pacing was unusually sombre, quiet and patient for a orthodox story which ultimately worked in favour for the director.

But I just didn't connect with this film. I thought the story was too simple and clichéd (in light of watching this 30 years after it's release and in hindsight of more recent boxing films) and there were some dead moments. I would have liked to see more about the fight and less about Rocky's soap operatic antics with his girlfriend and family. In the end I felt it too melodramatic for me add to that the (I can't help it) overdone music and story.

Plus it is impossible not to think about the other American films around this era that have been lasted longer and more potently as a comment on American life and the dream. All the President's Men, Taxi Driver, Network and Raging Bull. All these films have something to say have hopes, dreams, and ideals. While Rocky has captured the hearts of the viewers, it's contemporaries remain timeless and more perceptive in today's world.",5,English,4
18,Rocky,http:/review/rw4284178/?ref_=tt_urv,2018-08-14,STUPIDLY OVERRATED!!! But it's still fine I guess,"I don't really understand why this movie won 3 oscars. Obviously best picture and best director are kinda subjective, but best editing? Besides the final fight the editing ranges from unremarkable to kinda bad. The characters are a mixed bag. Rocky himself is in a weird state of perpetual drunkenness. He's not annoying but not really likeable..... just strange. Adrien has no real development and is kinda boring. And Paulie is an unlikeable ass hat. Rocky's trainer is fine but he's barely in the film. But I did like Apollo, though he was barely in it, the actor was quite charismatic. And there are at least 3 plot elements introduced in the beginning that don't really go anywhere. I'll say the movie has 2 really good scenes in the 3rd act. There's the scene where he finally climbs those stairs, (you know the scene), and the final fight was actually quite good, and so the film goes out on a high note. But the first 2 act are OK at best and horrifically boring at worst. So overall, I was quite disappointed, but I can't call it a terrible movie so it gets 60%",6,English,1
19,Rocky,http:/review/rw1761787/?ref_=tt_urv,2007-11-11,"Yes, he's an underdog. Unfortunately, the movie never comes out of the corner.","""Rocky"" is, by no means, an intolerable film, but neither is it the perfect masterpiece, as has been described. The good thing about it is that Sylvester Stallone obviously has some kind of dream, motivation, determination, just like his on-screen persona.

The bad thing is, John G. Avildsen might as well be directing ""Rocky Watches Grass Grow,"" as nothing truly great happens until at least the last third of the movie. Burt Young and Talia Shire seem to live for their shouting matches, which are not that impressive when compared, say, to ""Reds"" or ""The Godfather"". Carl Weathers helps boost things, but it isn't until ""Rocky II"" that his character gets a fair shake.

It's a shame that for a movie this acclaimed, more couldn't have happened. But for many people, it is still the ultimate inspirational picture, that delivers a clever message with at least a couple ounces of ingenuity.

In other words, ""Rocky"" is a movie backed by a dream, but the dream is never quite fulfilled.",6,English,3
20,Rocky,http:/review/rw2959222/?ref_=tt_urv,2014-02-11,Not that big of a deal,"I hate to be one of those this-film-is-overrated people, but that is really the case for this film. Seeing this film for the first time (2014) I expected a lot more from it. I've heard so much about how amazing this film is and I just don't see it. It is a good film, but not great.

This is a fairly generic underdog story. The film is kinda boring until the last third and the chemistry between Rocky and Adrian doesn't really work. The way Rocky goes after her seems more like harassment than love. She doesn't show any interest in him. She feels really uncomfortable in Rocky's apartment and tries to escape but Rocky blocks her in. There's no way that two minutes later they're kissing. A big disappointment was Mickey, I thought he was going to be some awesome trainer like Mr. Miyagi but he's hardly in this film, and kind of a jerk. I'd heard of that one famous line of his ""You're gonna eat lightning and crap thunder,"" but I didn't realize that's basically the extent of the training he gives. The most iconic part of the film is probably the training montage (in which Mickey just watches him do push-ups and pull- ups) which is the best part of the film. I felt the words ""Trying hard now"" was actually referring to the filmmakers trying harder compared to the rest of the movie. Although without that song you have to admit all Rocky's really doing is running around and punching things. The final fight is alright, but fairly underwhelming. It doesn't feel like many of the punches are connecting, heck they don't even punch each other for a couple minutes. Fighting scenes can be a lot more intense than this, just look at the fighting in Warrior as an example.

It's not a bad film though. I think it was even quite good for its time, but it hasn't aged well. Maybe the film looks better in context with the other sequels, but standing alone this film just doesn't go the distance.",6,English,1
21,Rocky,http:/review/rw3443463/?ref_=tt_urv,2016-04-01,A triumph of self-pitying losers,"I'm well aware of the story behind the creation of Rocky, especially the fact that Stallone had a very hard time to draw the studios' attention to the screenplay which was his vision of a chance to get out of the obscurity his career and himself were in at that time. So if we were to look at Rocky as a defining moment for the Stallone's star then yeah, it's a pretty important film. However, i don't think that a film's merits should be defined by whose career it helped boost. And, as a separate cinematographic product, Rocky is not just undeserving to be among the best films of all times, it's plain average.

The whole fiber of the film oozes hopelessness and despair. And maybe Philadelphia of the 70's was indeed a grim place to live in. But the main reason for setting up a story in such a depressing environment is to allude the life of Rocky Balboa and those surrounding him to some kind of a Cinderella story and make us root for the underdog. And it might have even worked if Rocky was even slightly intriguing and charismatic.

Instead, Stallone's script does its best to avert the audience from Rocky. The first half of the film is basically a showcase of what a bum (if not a true imbecile) Rocky is. Unable to talk like a human being, instead mumbling some deranged nonsense, Rocky is more like Frankenstein than Cinderella, roaming around the murky streets of the Philadelphia slums, devoid of any idea how to live his life today or what to do with it tomorrow. The only way to make him look less of a creep was to give him pet turtles and an affection for an equally socially and emotionally disabled woman working in a store nearby, which might be sentimental enough to work for some, but feels unbelievably forced and corny to me.

But for the Cinderella story to work, Rocky had to receive an invitation to a ball. A title boxing fight in his case. Which happens late enough to get bored by Balboa's constant downer's attitude (how's that for an example: ""You gotta be a moron to wanna be a fighter, you know what I mean? It's a racket where you're almost guaranteed to end up a bum.""). But, luckily, still early enough to give the film some room to capitalize on that change. Because when Rocky finally shuts it and starts doing something useful, he becomes watchable at last. Even inspiring for some.

The end of this fairy tale is as predictable as it's gracious for the protagonist. It's by no means realistic, but i guess Stallone just didn't have enough star fever to write a better ending for his character. Still, the fact that the film ends rather abruptly is probably a sign that the author had no idea what to do next other than to call a woman to the rescue. Unfortunately, the impression that the whole film leaves is exactly the same: unaware of its goals, hardly knowing what to do, simply trying to go the distance because... well, because there's no much choice otherwise. Apparently, the audience loved that blind weary spirit back in the day, but now it looks like the success of Rocky and the career of Stallone itself were nothing but freak luck.",6,English,3
22,Rocky,http:/review/rw0149607/?ref_=tt_urv,2001-10-04,Good but nothing to remember!!!!!!,"I don´t like Sylvester Stallone at all but he has done two good roles: This and Cop land.

 The typical ""sport""  story about the boxer who gives his all to win the championship.The boxing scenes are nothing special and you understand how it going to end in the start.

Still the film has a heart and it´s very hard to hate so I give this a 3/5.I have not seen all of the other rocky films but I have seen some parts of the other  films on cabel-tv and that look just like trash.

 RATING:3/5",6,English,3
23,Rocky,http:/review/rw2033879/?ref_=tt_urv,2009-03-07,Of the Rocky's probably the most realistic.,"This movie was a rather good drama starring Sylvester Stallone as the title character Rocky. It also is one of those movies that has a theme that sticks with a person because it is so memorable. The movie, too is memorable although kind of slow moving in places as well. They try a bit to hard making Rocky seem real, showing a bit to many details of his courtship of Adrien, though I have to say that these scenes while slow help with the ending making it a bit more emotional. The story, the heavy weight champion of the world Apollo Creed (Carl Weathers) is about to fight a title bout. Well the person he is supposed to fight drops out so Apollo decides to fight an unknown guy and picks a local named Rocky. Rocky is a bit of a washed up fighter, he can win but he does so clumsily. The trainer who I think owns the gym, Mickey, decides to help Rocky train for this fight and these two opposing forces meet in the ring for more of a fight than Apollo was expecting. This fight is a bit more realistic than the fight in two in that Apollo was not taking this fight seriously at all and was not training hard. An underdog that he had never really seen before could have taken him by surprise the way Rocky did here. So a good fight sequence a some filler before then to pull at the heart strings and inspire one. Still good though for a sports movie.",7,English,3
24,Rocky,http:/review/rw2424756/?ref_=tt_urv,2011-05-06,An Involving Movie In the Face of Its Otherwise Hackneyed Substance,"American cinema in the 1970s was marked by the new generation of filmmakers' bombshell of originality, liveliness, sexuality and a fervor for the artistic importance of film itself, with a pervading emphasis on realism, subversive political themes and sexual candor. But what won Best Picture in the year of Taxi Driver, Network and All the President's Men---the legendary arguable masterpieces of three of contemporary cinema's finest directors---is this paint-by-numbers inspirational sports flick. Stallone's screenplay is the most wholesome 1930s Hollywood fantasy. It's the tale of Rocky and his girl Adrian, when he, because of conditions too irrational to go into, is given the chance to fight the world heavyweight champion, Apollo Creed, fashioned after Muhammad Ali so sketchily as to be a practically senseless misuse of character. It's not sufficient enough to even be defamation, but by making the Ali-like fighter such a garish fool, the film treads regions of undeveloped racism that might not be all that undeveloped.

There are intermittent twinklings that the film may be condescending to the subordinate end of the proletarian attitude, as much if not more than the characters who continue putting Rocky down, like Gazzo's bodyguard and the (black) boxer who taunts Rocky after usurping his locker. Then again, Avildsen is known for creating such indistinctness with films he made before such as Joe---which dealt with what mainstream film hadn't yet dared about the neutral depiction of overt racists, junkies and gritty urban living---and the great Save the Tiger, which punctured stereotypes and sought longingly and urgently for answers to the seeming moral predicaments of modern times. Rocky is a devolution of that thread.

However, there are some extremely fine actors in other supporting parts. Burt Young is convincing as Rocky's best friend, a drunk jerk, as is a both deservedly Oscar-nominated and very underused Burgess Meredith as Rocky's antiquated trainer. It's actually Shire who comes off the best, Coppola's sister and Connie in his Godfather saga. She's a genuine actress, truly moving and also droll as a budding bachelorette who comes behind schedule to sexual life. She's so effective, actually, that she almost adds credence to Stallone's performance, which is frankly way too goofy. (I keep getting the impulse to mock him out loud in that mongoloid exaggeration of Italian-American brute brogue.) So Rocky, by day, is a petty debt collector for a neighborhood loan shark played by Joe Spinell. Rocky's the kind of character who evinces his genuine compassion by thinking twice about breaking a stakeholder's thumb. At night, as we all by now very well know, chases a substandard boxing career in rundown sporting rings. But consider when Shire sits, crying and furrowed, in a corner of her small bedroom. Her brother has wrecked the living room with a baseball bat. Rocky, the guy she has become smitten by, enters. She timidly asks him if he wants a roommate. ""Absolutely,"" he says, which is precisely what he should say, and how he should say it, and why Rocky is such an involving movie despite its otherwise ultimately stale framework.",7,English,3
25,Rocky,http:/review/rw4573394/?ref_=tt_urv,2019-01-10,Mythical. Honest. American.,"This film uses boxing, and a bum's life to provide a engaging look into the American dream. What the dream is. Why it is unattainable for so many people. And what happens to those lucky few who do make it. Rocky only gets his shot because of the sheer luck of his nickname; America loves an underdog, but they also love a cynical entertainer. Stallone's script is really good at capturing this dual quality. So much of this film is just easy naturalism. The central love story is the most ordinary love story in the whole world. Paulie and Micky are just a couple of guys who missed their shot and resent Rocky for it.

And yet for all that easy naturalism the film has a grand quality to it. The fights are quite good, especially for the time. The film is filled with symbolism, some of it quite overtly religious. Creed riding in as Washington is a mythical image about American mythology. It is not surprising that this film spawned so many sequels. Americans love sagas too.",10,English,1
26,Rocky,http:/review/rw0149548/?ref_=tt_urv,2000-04-29,The Greatest Film Of All Time,"When it comes to charisma, heart, determination, and love, nothing can beat the Academy Award winning Rocky.  Great cast, great direction, and great script rises this above the rest.  And the 4 sequels were good too, something not all sequels can say, like Lethal Weapon.  Not that the sequels to Lethal Weapon were'nt any good, they were.  But when it comes to a film series, Rocky is champ.",10,English,1
27,Rocky,http:/review/rw4288142/?ref_=tt_urv,2018-08-16,It's about life!,"What makes a great film? Engaging characters, immersive story-line, brilliant editing, fantastic music, an experience you can revisit again and again. Rocky has all of this and more. 

When it comes to performance I honestly do not know where Rocky starts and Sylvester Stallone ends. Stallone did not just play this character he conceived, created and crafted it. This is not method acting this goes way beyond that. 

What is this film about? Loneliness, love, self-respect, poverty, heartache, shyness, chance, pride, friendship, boxing? It is about life! 

Rocky is a downtrodden character, in the words of Mickey (Burgess Meredith) Rocky is a bum, a loser, he had talent but never applied it. Rocky does not see this, he lives his life, he has some boxing skills which he puts to use in the occasional low-key cash fights and working as a money collector for the local crime lord (Joe Spinell). Rocky has the physical attributes for the debt collecting job but deep down he has a soft heart. He is not the smartest guy but ultimately he is a good guy. 

Rocky is friends with Paulie (Burt Young) who is a deeply flawed character. Unlike Rocky he has a chip on his shoulder at life and the cards he has been dealt. Paulie has a sister Adrian (Talia Shire) that has not had an easy life either. She is painfully shy and introverted. Adrian works at the local pet shop which Rocky visits often. Rocky tries to make conversation and get to know her. The courtship between Adrian and Rocky is awkward at times but has a reality and sweetness that is undeniable. Rocky and Adrian eventually date. 

Rocky's life is on a nowhere trajectory until out the blue his name is selected by Apollo Creed (Carl weathers) the heavy weight champion of the world as a publicity stunt. Apollo Creed wants to stage a boxing event where a lowly ranked amateur boxer gets a chance to fight for the title, ""The American dream"". Initially stunned and unwilling to take on this challenge, Rocky does not feel he is worthy or capable of this. Mickey eventually persuades Rocky to take this once in a lifetime chance. And so begins the rest of the film. Cue training montage. 

Rocky works on many levels, that is why bit is such a fantastic film. The characters have a human naivety and poignancy that resonates. The editing and music are sublime in parts. It is a film I will watch again and again and appreciate more each time 10 out of 10.",10,English,1
28,Rocky,http:/review/rw4288131/?ref_=tt_urv,2018-08-16,It's about life!,"What makes a great film? Engaging characters, immersive story line, brilliant editing, fantastic music, an experience you can revisit again and again. Rocky has all of this and more. 

When it comes to performance I honestly do not know where Rocky starts and Sylvester Stallone ends. Stallone did not just play this character he conceived, created and crafted it. This is not method acting this goes way beyond that. 

What is this film about? Loneliness, love, self-respect, poverty, heartache, shyness, chance, pride, friendship, boxing? It is about life! 

Rocky is a downtrodden character, in the words of Mickey (Burgess Meredith) Rocky is a bum, a loser, he had talent but never applied it. Rocky does not see this, he lives his life, he has some boxing skills which he puts to use in the occasional low-key cash fights and working as a money collector for the local crime lord. Rocky has the physical attributes for the debt collecting job but deep down he has a soft heart. He is not the smartest guy but ultimately he is a good guy. 

Rocky is friends with Paulie (Burt Young) who is a deeply flawed character. Unlike Rocky he has a chip on his shoulder at life and the cards he has been dealt. Paulie has a sister Adrian (Talia Shire) that has not had an easy life either. She is painfully shy and introverted. Adrian works at the local pet shop which Rocky visits often. Rocky tries to make conversation and get to know her. The courtship between Adrian and Rocky is awkward at times but has a reality and sweetness that is undeniable. Rocky and Adrian eventually date. 

Rocky's life is on a nowhere trajectory until out the blue his name is selected by Apollo Creed (Carl weathers) the heavy weight champion of the world as a publicity stunt. Apollo Creed wants to stage a boxing event where a lowly ranked amateur boxer gets a chance to fight for the title, ""The American dream"". Initially stunned and unwilling to take on this challenge, Rocky does not feel he is worthy or capable of this. Mickey eventually persuades Rocky to take this once in a lifetime chance. And so begins the rest of the film. Cue training montage. 

Rocky works on many levels, that is why bit is such a fantastic film. The characters have a human naivety and poignancy that resonates. The editing and music are sublime in parts. It is a film I will watch again and again and appreciate more each time.",10,English,1
